sentence,references
"The field of 3D scene reconstruction and novel view synthesis has seen significant advancements in recent years, driven by the increasing demand for realistic and interactive 3D content in applications such as virtual reality (VR), augmented reality (AR), and computer graphics [1]",[1] You Need a Transition Plane  Bridging Continuous Panoramic 3D  Reconstruction with Perspective Gauss
"The advent of 3D Gaussian Splatting (3DGS) has emerged as a promising alternative, offering a balance between computational efficiency and high-fidelity representation [2]. 3DGS represents 3D scenes using a collection of Gaussian primitives, each defined by parameters such as position, scale, rotation, and opacity [3]",[2] View-Dependent Uncertainty Estimation of 3D Gaussian Splatting;[3] Metamon-GS  Enhancing Representability with Variance-Guided  Densification and Light Encoding
"This survey paper focuses on the recent advancements in 3D Gaussian Splatting techniques, particularly in the areas of semantic optimization, feature propagation, deformation, and uncertainty estimation [4]",[4] Training-Free Hierarchical Scene Understanding for Gaussian Splatting  with Superpoint Graphs
"The paper aims to provide a comprehensive overview of the latest research, highlighting the key techniques and methodologies that have contributed to the evolution of 3DGS [5]",[5] ARAP-GS  Drag-driven As-Rigid-As-Possible 3D Gaussian Splatting Editing  with Diffusion Prior
"We begin by exploring enhancements in semantic optimization and feature propagation, which are crucial for improving the accuracy and robustness of 3D scene representations [6]",[6] GSFF-SLAM  3D Semantic Gaussian Splatting SLAM via Feature Field
"Cage-based deformation, ARAP deformation with a diffusion prior, and NeuralCage Learning are examined, showcasing their contributions to structure-aware and automated 3D scene manipulation [7]",[7] CAGE-GS  High-fidelity Cage Based 3D Gaussian Splatting Deformation
"The paper also covers advancements in uncertainty and efficiency improvements, which are vital for enhancing the reliability and practicality of 3DGS models [2]",[2] View-Dependent Uncertainty Estimation of 3D Gaussian Splatting
"Finally, the survey explores advanced 3D scene representation and inpainting techniques, including Gaussian-Enhanced Surfels, opacity modulation, and hash grids for fast rendering [8]",[8] Visibility-Uncertainty-guided 3D Gaussian Inpainting via Scene  Conceptional Learning
"The paper concludes by discussing future directions and potential areas for further research, emphasizing the ongoing need for innovation in 3D scene reconstruction and novel view synthesis [9]",[9] DropoutGS  Dropping Out Gaussians for Better Sparse-view Rendering
"Firstly, it provides a comprehensive and structured overview of the latest advancements in 3D Gaussian Splatting techniques, synthesizing insights from a wide range of research papers and studies [3]",[3] Metamon-GS  Enhancing Representability with Variance-Guided  Densification and Light Encoding
"By consolidating the current state of the art, this survey aims to inspire further innovations and advancements in 3D Gaussian Splatting techniques [3]",[3] Metamon-GS  Enhancing Representability with Variance-Guided  Densification and Light Encoding
Decoupled Semantic Optimization (DSO) is a novel approach designed to enhance the efficiency and accuracy of semantic reconstruction in 3D Gaussian Splatting (3DGS) frameworks [4],[4] Training-Free Hierarchical Scene Understanding for Gaussian Splatting  with Superpoint Graphs
"This decoupling is achieved by first reconstructing the geometric representation of the scene to a high level of detail, followed by an independent optimization step that focuses on refining the semantic embeddings [6]",[6] GSFF-SLAM  3D Semantic Gaussian Splatting SLAM via Feature Field
"Extensive experiments on various datasets and 3DGS frameworks have shown that DSO consistently improves rendering quality and reduces model storage, making it a valuable addition to the toolkit of 3D scene reconstruction methods [10]",[10] EDGS  Eliminating Densification for Efficient Convergence of 3DGS
Contextual Feature Propagation (CFP) is a critical component in enhancing the accuracy and robustness of 3D Gaussian Splatting (3DGS) by addressing the issue of cross-view granularity inconsistency [11],[11] CAGS  Open-Vocabulary 3D Scene Understanding with Context-Aware Gaussian  Splatting
"Traditional 3DGS methods often struggle with maintaining consistent feature granularity across different views, leading to fragmented and noisy 3D object representations [12]",[12] VGNC  Reducing the Overfitting of Sparse-view 3DGS via Validation-guided  Gaussian Number Control
Mask-Aware Contrastive Learning (MA-CL) is a novel approach designed to address the challenges of cross-view granularity inconsistency in 3D Gaussian Splatting (3DGS) [11],[11] CAGS  Open-Vocabulary 3D Scene Understanding with Context-Aware Gaussian  Splatting
"Unlike traditional methods that rely on per-pixel InfoNCE losses, which are susceptible to granularity noise, MA-CL computes feature centroids within segmentation masks derived from the Segment Anything Model (SAM) and applies contrastive supervision to these centroids across different views [11]",[11] CAGS  Open-Vocabulary 3D Scene Understanding with Context-Aware Gaussian  Splatting
This approach not only stabilizes the training process but also improves the quality of the reconstructed 3D scenes [13],[13] HUG  Hierarchical Urban Gaussian Splatting with Block-Based  Reconstruction
"Overall, MA-CL represents a significant advancement in 3DGS by addressing key challenges in cross-view consistency and computational efficiency, making it a valuable tool for high-quality 3D scene reconstruction and novel view synthesis [7]",[7] CAGE-GS  High-fidelity Cage Based 3D Gaussian Splatting Deformation
Cage-based deformation is a powerful technique in computer graphics that facilitates intuitive and structure-aware manipulation of 3D models while preserving fine details [7],[7] CAGE-GS  High-fidelity Cage Based 3D Gaussian Splatting Deformation
"Unlike direct vertex-based deformation, which can result in unstructured distortions, a cage provides a high-level control structure that smoothly influences the deformation of the enclosed model [7]",[7] CAGE-GS  High-fidelity Cage Based 3D Gaussian Splatting Deformation
"However, these methods are not directly applicable to the complexity and discreteness of 3D Gaussian Splatting (3DGS) [14]",[14] When Gaussian Meets Surfel  Ultra-fast High-fidelity Radiance Field  Rendering
"To address the limitations of traditional cage-based deformation methods in the context of 3DGS, we introduce a novel cage-based 3DGS deformation technique [7]",[7] CAGE-GS  High-fidelity Cage Based 3D Gaussian Splatting Deformation
