sentence,references
"Each Gaussian is defined by its spatial location $\\in \\boxtimes$ (denoted by $\\mu$ ), covariance matrix $( \\Sigma )$ , color c, and opacity $( \\alpha )$ [14]",[14] 3D高斯溅射：原理、应用与未来 https://ai-bot.cn/what-is-3d-gaussian-splatting/​
"Ongoing research explores extensions and applications of 3DGS in areas including dynamic scenes [8,32], large-scale environments [12], segmentation [6], semantic understanding, SLAM, digital humans, virtual/augmented reality, and simulations [2,4,21,29,30,33,34]","[6] FlashSplat: 最优解2D到3D高斯分割，提速50倍 https://cloud.tencent.com/developer/article/2482781;[12] CityGaussianV2：中科院提出，解决大规模场景三维重建显存爆炸难题 https://baijiahao.baidu.com/s?   
id=1818307733311392387&wfr=spider&for=pc​"
"Explicit representations, such as polygon meshes and point clouds, store geometric elements directly [21]",[21] 3D Gaussian Splatting 调研：SLAM与自动驾驶应用 https://blog.csdn.net/gwplovekimi/article/details/135397265
"This can lead to compact representations and high-fidelity reconstruction [3], but querying the network can be computationally intensive [21]",[3] 3D Gaussian Splatting (3DGS) 三维重建算法入门详解 https://blog.csdn.net/weixin_48978134/article/details/141218932;[21] 3D Gaussian Splatting 调研：SLAM与自动驾驶应用 https://blog.csdn.net/gwplovekimi/article/details/135397265
"For instance, rendering a modest $4 0 0 \\times 4 0 0$ image can take seconds for some NeRF variants [11]","[11] HDR-GS：首个可渲染HDR场景的3D高斯模型，速度提升1000倍 https://baijiahao.baidu.com/s?   
id=1818040753407886776&wfr=spider&for=pc​"
NeRF also struggles with representing empty space efficiently and its performance can be sensitive to scene characteristics [36],"[36] 3D Gaussian Splatting：原理、优势与快速渲染 https://mp.weixin.qq.com/s?   
__biz $\\mathrel { \\mathop : } =$ MzU1NjEwMTY0Mw $\\scriptstyle = =$ &mid=2247589043&idx $\\mathop { : = }$ 1&sn $\\ c =$ 30b85681589e7b3a750c12ad428af77e&chksm=fa4bca88209fa312   
385bec3be094bd519cd238f8efd762d9c76d69bb9761432cd70908288cca&scene=27"
"The field has seen an evolution through various methods, ranging from traditional explicit structures to modern implicit and hybrid approaches [8]","[8] 计图开源：高斯网—实时大尺度几何变形的新型高斯溅射方法 https://cg.cs.tsinghua.edu.cn/jittor/news/2024-09-30-11-43-   
00-00-GaussianMesh/"
This structure is highly compatible with 3D modeling software [3] and enables direct access to geometric elements [21],[3] 3D Gaussian Splatting (3DGS) 三维重建算法入门详解 https://blog.csdn.net/weixin_48978134/article/details/141218932;[21] 3D Gaussian Splatting 调研：SLAM与自动驾驶应用 https://blog.csdn.net/gwplovekimi/article/details/135397265
"The independence of points eliminates complex dependencies, simplifying certain operations [3]",[3] 3D Gaussian Splatting (3DGS) 三维重建算法入门详解 https://blog.csdn.net/weixin_48978134/article/details/141218932
"Both meshes and point clouds benefit from being explicit representations, which makes them highly compatible with GPU/CUDA-based rasterization pipelines, facilitating rapid rendering [31]",[31] Gaussian Splatting: A Review of 3D Reconstruction  https://blog.csdn.net/weixin_44478317/article/details/143615549​
