sentence,references
"The journey of 3D scene reconstruction began long before the surge of deep learning, with early endeavors focusing on light fields and basic scene reconstruction methods [1]–[3]","[1] S. J. Gortler, R. Grzeszczuk, R. Szeliski, and M. F. Cohen, “The lumigraph,” in Seminal Graphics Papers: Pushing the Boundaries, Volume 2, 2023, pp. 453–464.;[2] M. Levoy and P. Hanrahan, “Light field rendering,” in Seminal Graphics Papers: Pushing the Boundaries, Volume 2, 2023, pp. 441– 452.;[3] C. Buehler, M. Bosse, L. McMillan, S. Gortler, and M. Cohen, “Unstructured lumigraph rendering,” in Seminal Graphics Papers: Pushing the Boundaries, Volume 2, 2023, pp. 497–504."
The emergence of structure-frommotion [4] and subsequent advancements in multi-view stereo [5] algorithms provided a more robust framework for 3D scene reconstruction,"[4] N. Snavely, S. M. Seitz, and R. Szeliski, “Photo tourism: exploring photo collections in $3 \\mathrm { d } , \\prime \\prime$ in ACM Trans. Graph., 2006, pp. 835–846.;[5] M. Goesele, N. Snavely, B. Curless, H. Hoppe, and S. M. Seitz, “Multi-view stereo for community photo collections,” in Proc. IEEE Int. Conf. Comput. Vis., 2007, pp. 1–8."
"NeRF based methods are computationally intensive [6]–[9], often requiring extensive training times and substantial resources for rendering, especially for highresolution outputs. ii) Editability","[6] S. J. Garbin, M. Kowalski, M. Johnson, J. Shotton, and J. Valentin, “Fastnerf: High-fidelity neural rendering at 200fps,” in Proc. IEEE Int. Conf. Comput. Vis., 2021, pp. 14 346–14 355.;[7] C. Reiser, S. Peng, Y. Liao, and A. Geiger, “Kilonerf: Speeding up neural radiance fields with thousands of tiny mlps,” in Proc. IEEE Int. Conf. Comput. Vis., 2021, pp. 14 335–14 345.;[8] J. T. Barron, B. Mildenhall, D. Verbin, P. P. Srinivasan, and P. Hedman, “Mip-nerf 360: Unbounded anti-aliased neural radiance fields,” in Proc. IEEE Conf. Comput. Vis. Pattern Recognit., 2022, pp. 5470–5479.;[9] T. M ¨uller, A. Evans, C. Schied, and A. Keller, “Instant neural graphics primitives with a multiresolution hash encoding,” ACM Trans. Graph., vol. 41, no. 4, pp. 1–15, 2022."
"It is in this context that 3D Gaussian splatting (GS) [10] emerges, not merely as an incremental improvement but as a paradigm-shifting approach that redefines the boundaries of scene representation and rendering","[10] B. Kerbl, G. Kopanas, T. Leimk ¨uhler, and G. Drettakis, “3d gaussian splatting for real-time radiance field rendering,” ACM Trans. Graph., vol. 42, no. 4, 2023."
"Unlike the implicit, coordinate-based models [11], [12], 3D GS employs an explicit representation and highly parallelized workflows, facilitating more efficient computation and rendering","[11] V. Sitzmann, J. Thies, F. Heide, M. Nießner, G. Wetzstein, and M. Zollhofer, “Deepvoxels: Learning persistent 3d feature embeddings,” in Proc. IEEE Conf. Comput. Vis. Pattern Recognit., 2019, pp. 2437–2446.;[12] B. Mildenhall, P. P. Srinivasan, M. Tancik, J. T. Barron, R. Ramamoorthi, and R. Ng, “Nerf: Representing scenes as neural radiance fields for view synthesis,” in Proc. Eur. Conf. Comput. Vis., 2020, pp. 405–421."
The innovation of 3D GS lies in its unique blend of the benefits of differentiable pipelines and point-based rendering techniques [13]–[17],"[13] H. Pfister, M. Zwicker, J. Van Baar, and M. Gross, “Surfels: Surface elements as rendering primitives,” in Proceedings of the 27th annual conference on Computer graphics and interactive techniques, 2000, pp. 335–342.;[14] M. Zwicker, H. Pfister, J. Van Baar, and M. Gross, “Surface splatting,” in Proceedings of the 28th annual conference on Computer graphics and interactive techniques, 2001, pp. 371–378.;[15] L. Ren, H. Pfister, and M. Zwicker, “Object space ewa surface splatting: A hardware accelerated approach to high quality point rendering,” in Comput. Graph. Forum, no. 3, 2002, pp. 461–470.;[16] W. Yifan, F. Serena, S. Wu, C. O¨ ztireli, and O. Sorkine-Hornung, “Differentiable surface splatting for point-based geometry processing,” ACM Trans. Graph., vol. 38, no. 6, pp. 1–14, 2019.;[17] O. Wiles, G. Gkioxari, R. Szeliski, and J. Johnson, “Synsin: Endto-end view synthesis from a single image,” in Proc. IEEE Conf. Comput. Vis. Pattern Recognit., 2020, pp. 7467–7477."
"By enabling real-time rendering capabilities without compromising on visual quality, 3D GS opens up a plethora of possibilities for applications ranging from virtual reality and augmented reality to real-time cinematic rendering and beyond [18]–[21]","[18] D. Kalkofen, E. Mendez, and D. Schmalstieg, “Comprehensible visualization for augmented reality,” IEEE Trans. Vis. Comput. Graph., vol. 15, no. 2, pp. 193–204, 2008.;[19] A. Patney, M. Salvi, J. Kim, A. Kaplanyan, C. Wyman, N. Benty, D. Luebke, and A. Lefohn, “Towards foveated rendering for gazetracked virtual reality,” ACM Trans. Graph., vol. 35, no. 6, pp. 1–12, 2016.;[20] R. Albert, A. Patney, D. Luebke, and J. Kim, “Latency requirements for foveated rendering in virtual reality,” ACM Transactions on Applied Perception, vol. 14, no. 4, pp. 1–13, 2017.;[21] Y. Jiang, C. Yu, T. Xie, X. Li, Y. Feng, H. Wang, M. Li, H. Lau, F. Gao, Y. Yang et al., “Vr-gs: A physical dynamics-aware interactive gaussian splatting system in virtual reality,” arXiv preprint arXiv:2401.16663, 2024."
"Furthermore, 3D GS’s explicit scene representation offers unprecedented flexibility to control the objects and scene dynamics, a crucial factor in complex scenarios involving intricate geometries and varying lighting conditions [22]–[24]","[22] T. Lu, M. Yu, L. Xu, Y. Xiangli, L. Wang, D. Lin, and B. Dai, “Scaffold-gs: Structured 3d gaussians for view-adaptive rendering,” in Proc. IEEE Conf. Comput. Vis. Pattern Recognit., 2024.;[23] S. Saito, G. Schwartz, T. Simon, J. Li, and G. Nam, “Relightable gaussian codec avatars,” in Proc. IEEE Conf. Comput. Vis. Pattern Recognit., 2024.;[24] T. Zhang, K. Huang, W. Zhi, and M. Johnson-Roberson, “Darkgs: Learning neural illumination and 3d gaussians relighting for robotic exploration in the dark,” in Proc. IEEE/RSJ Int. Conf. Intell. Robot. Syst., 2024."
"The distinctions of this survey from existing literature [25]– [28] are evident in the following aspects:  
We provide the first systematic and comprehensive review that examines 3D GS from a macro-level perspective by establishing clear taxonomies and frameworks","[25] B. Fei, J. Xu, R. Zhang, Q. Zhou, W. Yang, and Y. He, “3d gaussian splatting as new era: A survey,” IEEE Trans. Vis. Comput. Graph., 2024.;[26] A. Dalal, D. Hagen, K. G. Robbersmyr, and K. M. Knausg˚ard, “Gaussian splatting: 3d reconstruction and novel view synthesis, a review,” IEEE Access, 2024.;[27] Y. Bao, T. Ding, J. Huo, Y. Liu, Y. Li, W. Li, Y. Gao, and J. Luo, “3d gaussian splatting: Survey, technologies, challenges, and opportunities,” arXiv preprint arXiv:2407.17418, 2024.;[28] T. Wu, Y.-J. Yuan, L.-X. Zhang, J. Yang, Y.-P. Cao, L.-Q. Yan, and L. Gao, “Recent advances in 3d gaussian splatting,” Comput. Vis. Media, pp. 1–30, 2024."
"For a comprehensive overview of radiance fields, scene reconstruction and representation, and rendering methods, please see the excellent surveys [29]–[33] for more insights","[29] L. Kobbelt and M. Botsch, “A survey of point-based techniques in computer graphics,” Comput. Graph., vol. 28, no. 6, pp. 801–814, 2004.;[30] Y. Xie, T. Takikawa, S. Saito, O. Litany, S. Yan, N. Khan, F. Tombari, J. Tompkin, V. Sitzmann, and S. Sridhar, “Neural fields in visual computing and beyond,” in Comput. Graph. Forum, no. 2, 2022, pp. 641–676.;[31] W. Wang, Y. Yang, and Y. Pan, “Visual knowledge in the big model era: Retrospect and prospect,” arXiv preprint arXiv:2404.04308, 2024.;[32] A. Tewari, J. Thies, B. Mildenhall, P. Srinivasan, E. Tretschk, W. Yifan, C. Lassner, V. Sitzmann, R. Martin-Brualla, S. Lombardi et al., “Advances in neural rendering,” in Comput. Graph. Forum, no. 2, 2022, pp. 703–735.;[33] X.-F. Han, H. Laga, and M. Bennamoun, “Image-based 3d object reconstruction: State-of-the-art and trends in the deep learning era,” IEEE Trans. Pattern Anal. Mach. Intell., vol. 43, no. 5, pp. 1578–1604, 2019."
